time,gFx,gFy,gFz,gFTotal
0.00817108154296875,0.0382843017578125,-0.4062042236328125,-0.8376007080078125,0.932
0.012029170989990234,0.021240234375,-0.3919677734375,-0.799346923828125,0.891
0.022431135177612305,-0.00347900390625,-0.4098052978515625,-0.871856689453125,0.963
0.03210926055908203,0.0009918212890625,-0.422149658203125,-0.9197235107421875,1.012
0.04327392578125,0.0356597900390625,-0.4118499755859375,-0.92034912109375,1.009
0.053727149963378906,0.0497283935546875,-0.4060516357421875,-0.90673828125,0.995
0.06333112716674805,0.0452423095703125,-0.419097900390625,-0.90985107421875,1.003
0.07214212417602539,0.0526123046875,-0.4210357666015625,-0.9220733642578125,1.015
0.08216714859008789,0.059112548828125,-0.407073974609375,-0.9351348876953125,1.022
0.09233808517456055,0.0626373291015625,-0.39599609375,-0.9259033203125,1.009
0.10357999801635742,0.0763092041015625,-0.3932952880859375,-0.932098388671875,1.015
0.1123042106628418,0.0850067138671875,-0.3968353271484375,-0.939605712890625,1.024
0.12227296829223633,0.073486328125,-0.40155029296875,-0.9192047119140625,1.006
0.1317460536956787,0.054840087890625,-0.4055633544921875,-0.8917083740234375,0.981
0.14342498779296875,0.048675537109375,-0.413238525390625,-0.8804779052734375,0.974
0.15479516983032227,0.0498199462890625,-0.41796875,-0.890533447265625,0.985
0.1633892059326172,0.052398681640625,-0.4210968017578125,-0.9117431640625,1.006
0.17215490341186523,0.0614471435546875,-0.4172515869140625,-0.91986083984375,1.012
0.18183302879333496,0.06341552734375,-0.4088592529296875,-0.922943115234375,1.011
0.19209504127502441,0.0623016357421875,-0.4053192138671875,-0.9213104248046875,1.008
0.2031269073486328,0.05999755859375,-0.40472412109375,-0.9169769287109375,1.004
0.2114272117614746,0.0535888671875,-0.40618896484375,-0.9161529541015625,1.004
0.22214317321777344,0.04638671875,-0.4086151123046875,-0.912933349609375,1.001
0.231964111328125,0.0475006103515625,-0.4130706787109375,-0.90765380859375,0.998
0.24355411529541016,0.05023193359375,-0.419708251953125,-0.9127960205078125,1.006
0.254971981048584,0.0542144775390625,-0.4246063232421875,-0.9266815185546875,1.021
0.2629971504211426,0.0599365234375,-0.42901611328125,-0.92449951171875,1.021
0.27182912826538086,0.06158447265625,-0.4282379150390625,-0.9176788330078125,1.015
0.2816629409790039,0.0602264404296875,-0.4254150390625,-0.907257080078125,1.004
0.2912611961364746,0.0661163330078125,-0.4244232177734375,-0.90167236328125,0.999
0.3029661178588867,0.07098388671875,-0.429718017578125,-0.899658203125,1.0
0.31171107292175293,0.0779876708984375,-0.4312286376953125,-0.9136962890625,1.013
0.3224039077758789,0.0851898193359375,-0.435333251953125,-0.9346923828125,1.035
0.33187198638916016,0.0821075439453125,-0.4412689208984375,-0.93743896484375,1.039
0.3427119255065918,0.0731658935546875,-0.4415283203125,-0.929840087890625,1.032
0.35486316680908203,0.0682220458984375,-0.4352264404296875,-0.9223175048828125,1.022
0.36260223388671875,0.06536865234375,-0.4314727783203125,-0.9100799560546875,1.009
0.3710620403289795,0.0685272216796875,-0.4296417236328125,-0.904083251953125,1.003
