time,gFx,gFy,gFz,gFTotal
0.007771015167236328,0.0613250732421875,-0.789642333984375,-0.60015869140625,0.994
0.011566877365112305,0.02294921875,-0.8011627197265625,-0.5865631103515625,0.993
0.021336078643798828,0.003509521484375,-0.800567626953125,-0.6179656982421875,1.011
0.03311777114868164,-0.013702392578125,-0.798370361328125,-0.6111907958984375,1.006
0.04146575927734375,-0.0255584716796875,-0.789947509765625,-0.6124420166015625,1.0
0.051011085510253906,-0.0289764404296875,-0.781005859375,-0.6122589111328125,0.993
0.06144905090332031,-0.0303802490234375,-0.771942138671875,-0.6113433837890625,0.985
0.07244491577148438,-0.0179443359375,-0.763671875,-0.6152801513671875,0.981
0.0833897590637207,0.013275146484375,-0.766143798828125,-0.6204833984375,0.986
0.09219694137573242,0.0399169921875,-0.7648162841796875,-0.636566162109375,0.996
0.10126209259033203,0.0592498779296875,-0.7478179931640625,-0.6560211181640625,0.997
0.11150979995727539,0.0698089599609375,-0.7342529296875,-0.6570587158203125,0.988
0.1212167739868164,0.0721282958984375,-0.729522705078125,-0.65399169921875,0.982
0.13282203674316406,0.06768798828125,-0.7274017333984375,-0.653594970703125,0.98
0.14072179794311523,0.064483642578125,-0.7308807373046875,-0.6516571044921875,0.981
0.15169906616210938,0.0668792724609375,-0.742919921875,-0.646209716796875,0.987
0.16135597229003906,0.0676422119140625,-0.752349853515625,-0.6407470703125,0.991
0.17250776290893555,0.0703887939453125,-0.757354736328125,-0.63720703125,0.992
0.1832118034362793,0.0711517333984375,-0.7563934326171875,-0.626190185546875,0.985
0.19217395782470703,0.0633392333984375,-0.754669189453125,-0.624481201171875,0.982
0.20097875595092773,0.0550079345703125,-0.7527923583984375,-0.6287689208984375,0.982
0.21076583862304688,0.045867919921875,-0.7530517578125,-0.6349029541015625,0.986
0.22075390815734863,0.061187744140625,-0.7486572265625,-0.6486968994140625,0.992
0.23197078704833984,0.0552978515625,-0.739410400390625,-0.6526947021484375,0.988
0.24072980880737305,0.0805206298828125,-0.726287841796875,-0.6385650634765625,0.97
0.2506890296936035,0.1201019287109375,-0.72894287109375,-0.6702880859375,0.998
0.2613530158996582,0.1323394775390625,-0.7091064453125,-0.6683197021484375,0.983
0.2718210220336914,0.140167236328125,-0.67919921875,-0.635040283203125,0.94
0.2817258834838867,0.169921875,-0.6740570068359375,-0.6367034912109375,0.943
0.29140496253967285,0.1878662109375,-0.6861114501953125,-0.6296844482421875,0.95
0.3006429672241211,0.200958251953125,-0.694732666015625,-0.612945556640625,0.948
0.31063294410705566,0.2265777587890625,-0.7018585205078125,-0.6080474853515625,0.956
0.32051610946655273,0.2450714111328125,-0.7071380615234375,-0.6053009033203125,0.963
0.3317549228668213,0.25689697265625,-0.71246337890625,-0.6009368896484375,0.967
0.3404719829559326,0.2585601806640625,-0.71575927734375,-0.612274169921875,0.977
0.35123395919799805,0.2660675048828125,-0.68817138671875,-0.639129638671875,0.976
0.36065006256103516,0.2939910888671875,-0.6822052001953125,-0.64727783203125,0.985
0.37189292907714844,0.3184356689453125,-0.7189788818359375,-0.649383544921875,1.02
0.3836379051208496,0.3191680908203125,-0.735382080078125,-0.6435089111328125,1.028
0.39110279083251953,0.2988433837890625,-0.7235107421875,-0.6403045654296875,1.011
0.40039682388305664,0.2944183349609375,-0.7351837158203125,-0.5855255126953125,0.985
0.41028499603271484,0.196502685546875,-0.7143707275390625,-0.6123809814453125,0.961
0.4203958511352539,0.03717041015625,-0.6882171630859375,-0.63525390625,0.937
0.43164992332458496,0.14666748046875,-0.739654541015625,-0.530059814453125,0.922
0.44010210037231445,0.27667236328125,-0.8372039794921875,-0.5329437255859375,1.03
0.45088791847229004,0.314788818359375,-0.85198974609375,-0.6634979248046875,1.125
0.46036481857299805,0.190185546875,-0.8282012939453125,-0.689361572265625,1.094
0.47160792350769043,0.104034423828125,-0.7991180419921875,-0.600860595703125,1.005
0.48249387741088867,0.18255615234375,-0.669586181640625,-0.625213623046875,0.934
0.4909839630126953,0.18475341796875,-0.789154052734375,-0.6966400146484375,1.069
0.49992990493774414,0.15594482421875,-0.9018402099609375,-0.72662353515625,1.169
0.5099918842315674,0.1534576416015625,-0.8369140625,-0.73724365234375,1.126
0.5194840431213379,0.128265380859375,-0.686126708984375,-0.7465972900390625,1.022
0.5310928821563721,0.1376190185546875,-0.654571533203125,-0.756317138671875,1.01
0.5397589206695557,0.178192138671875,-0.6562957763671875,-0.7715606689453125,1.028
0.5505790710449219,0.2101593017578125,-0.6501312255859375,-0.825347900390625,1.071
0.5599088668823242,0.19049072265625,-0.621551513671875,-0.81463623046875,1.042
0.5711839199066162,0.1748504638671875,-0.5826263427734375,-0.7873992919921875,0.995
0.5820388793945312,0.2267608642578125,-0.5696563720703125,-0.78692626953125,0.998
0.5906038284301758,0.2225189208984375,-0.5802001953125,-0.7701568603515625,0.99
0.5993428230285645,0.22430419921875,-0.5679168701171875,-0.7588348388671875,0.974
0.6096878051757812,0.1754302978515625,-0.51507568359375,-0.7626190185546875,0.937
0.6196269989013672,0.1310577392578125,-0.4887237548828125,-0.7534637451171875,0.908
0.6319370269775391,0.1046600341796875,-0.5692291259765625,-0.7306060791015625,0.932
0.6396169662475586,0.1176300048828125,-0.601226806640625,-0.768463134765625,0.983
0.6502170562744141,0.1625823974609375,-0.5126800537109375,-0.7610321044921875,0.932
0.6598458290100098,0.135467529296875,-0.4154205322265625,-0.6889190673828125,0.816
0.6709189414978027,0.0999298095703125,-0.3842926025390625,-0.66033935546875,0.771
